Jno,Name,Position,Mins_played,Matchs,Start,Yellow,Red,Substitute,Subbed_off,Two_yellow,Goals,Penalty,Own_goals,Goals_conceded,Ratings,pos
13,Oblak,Goalkeeper,2493,28,28,1,0,0,2,0,0,0,0,20,6.93,0
13,Rui Silva,Goalkeeper,2340,26,26,2,0,0,0,0,0,0,0,32,6.93,0
14,Aleix Garcia,Midfielder,2339,30,26,1,0,4,8,0,1,0,0,37,7.4,2
14,Brian,Forward,1128,18,15,2,0,3,13,0,1,0,0,17,6.62,3
14,Dani García,Midfielder,1491,25,18,6,0,7,13,0,0,0,0,19,6.8,2
14,Dani Rodríguez,Midfielder,2115,35,26,8,0,9,23,0,3,0,0,26,6.76,2
14,Gayà,Defender,2715,31,31,4,0,0,6,0,1,0,0,37,7.16,1
14,Lazaro,Forward,711,19,7,1,0,12,5,0,6,0,0,13,6.88,3
14,M. Llorente,Midfielder,1710,22,21,5,0,1,10,0,1,0,0,11,6.97,2
14,M. Trigueros,Midfielder,817,23,8,2,1,15,5,0,0,0,0,8,6.53,2
14,Nianzou,Defender,1370,19,16,1,1,3,4,0,1,0,0,27,6.62,1
14,Salvi Sánchez,Midfielder,472,24,4,2,0,20,4,0,0,0,0,15,6.54,2
14,Take,Midfielder,2452,35,29,3,0,6,22,0,9,0,0,21,7.03,2
14,Tapia,Midfielder,1450,28,16,6,1,12,10,1,0,0,0,28,6.69,2
14,William,Midfielder,2451,33,31,6,1,2,17,0,3,0,0,24,6.93,2
15,Aidoo Jr,Defender,3121,35,35,4,1,0,1,1,3,0,0,48,6.85,1
15,Akieme,Defender,2298,29,27,5,0,2,4,0,1,0,0,45,6.59,1
15,Cenk,Defender,1363,17,14,1,0,3,1,0,0,0,0,18,6.81,1
15,Chavarría,Defender,356,16,2,1,0,14,2,0,0,0,0,7,6.54,1
15,Christensen,Defender,1765,23,22,2,0,1,7,0,1,0,1,13,7.05,1
15,I. Lekue,Defender,1321,20,14,1,0,6,6,0,0,0,0,15,6.75,1
15,Juanpe Rl,Defender,1427,19,17,3,0,2,4,0,1,0,0,25,6.6,1
15,Maffeo,Defender,2977,35,34,6,1,1,4,0,2,0,0,40,6.8,1
15,Omar Alderete,Defender,2049,25,23,9,0,2,4,0,1,0,0,24,6.79,1
15,Rico,Defender,1646,20,18,3,0,2,3,0,0,0,0,14,6.87,1
15,Savic,Defender,1945,22,22,5,2,0,1,0,0,0,0,17,6.86,1
15,Valverde,Midfielder,2509,34,29,2,0,5,12,0,7,0,0,25,7.25,2
15,Y. En-Nesyri,Forward,1657,31,17,4,0,14,11,0,8,0,0,22,6.79,3
16,A. Mumin,Defender,918,16,9,2,0,7,0,0,0,0,0,17,6.51,1
16,Alex . B,Midfielder,1944,35,19,11,1,16,9,1,6,0,0,23,6.66,2
16,Alex . B,Midfielder,1944,35,19,11,1,16,9,1,6,0,0,23,6.92,2
16,Algobia,Midfielder,1129,26,11,3,0,15,8,0,0,0,0,15,6.54,2
16,Chris Ramos,Forward,705,15,7,2,0,8,4,0,1,0,0,10,6.48,3
16,Chris Ramos,Forward,705,15,7,2,0,8,4,0,1,0,0,10,6.67,3
16,Chris Ramos,Forward,705,15,7,2,0,8,4,0,1,0,0,10,6.85,3
16,Guevara,Midfielder,217,8,2,2,0,6,2,0,0,0,0,1,6.78,2
16,J. Navas,Defender,1979,32,21,5,0,11,9,0,0,0,1,27,6.77,1
16,L. Suárez,Forward,1495,21,18,4,1,3,9,0,4,0,0,28,6.4,3
16,L. Suárez,Forward,1495,21,18,4,1,3,9,0,4,0,0,28,6.73,3
16,Molina L.,Defender,2871,33,33,7,1,0,4,0,4,0,0,28,6.88,1
16,Odriozola,Defender,36,3,0,0,0,3,0,0,0,0,0,0,6.8,1
16,Pezzella,Defender,2515,31,29,4,3,2,4,0,0,0,0,28,6.9,1
16,Vencedor,Midfielder,183,10,0,2,0,10,0,0,0,0,0,7,6.46,2
17,Alex Pozo,Midfielder,1876,30,20,2,0,10,6,0,0,0,0,26,6.68,2
17,E. Lamela,Midfielder,1844,32,20,8,1,12,10,1,6,0,0,29,6.63,2
17,E. Lamela,Midfielder,1844,32,20,8,1,12,10,1,6,0,0,29,6.68,2
17,Escalante,Midfielder,1126,14,13,4,0,1,5,0,4,0,0,13,7.06,2
17,Lucas V.,Midfielder,1141,23,12,2,0,11,6,0,4,0,0,12,7.03,2
17,Marcos A.,Defender,1162,24,11,3,0,13,3,0,1,0,0,11,6.9,1
17,Navarro,Midfielder,337,17,1,2,0,16,1,0,0,0,0,6,6.54,2
17,Saúl,Midfielder,1087,31,11,8,0,20,6,0,3,0,0,14,6.8,2
17,Unai Lopez,Midfielder,1243,34,12,2,0,22,11,0,1,0,0,20,6.7,2
17,Yuri B.,Defender,2406,29,27,6,1,2,2,1,1,0,0,32,6.96,1
18,A. Almeida,Midfielder,2550,34,29,3,0,5,15,0,2,0,0,32,6.94,2
18,A. Guardado,Midfielder,1373,26,16,7,0,10,10,0,1,0,0,23,6.82,2
18,A. Negredo,Forward,755,21,9,0,0,12,8,0,1,0,0,17,6.79,3
18,Alberto M.,Defender,1294,24,14,7,0,10,11,0,0,0,0,15,6.66,1
18,Álvaro,Midfielder,2887,35,34,7,0,1,19,0,5,0,0,41,6.99,2
18,Arnau Puigmal,Midfielder,760,22,7,4,0,15,7,0,1,0,0,18,6.56,2
18,De Marcos,Defender,2823,37,32,7,0,5,10,0,1,0,1,34,6.79,1
18,Gorosabel,Defender,1711,27,19,3,0,8,10,0,0,0,0,19,6.73,1
18,J. Costa,Defender,2608,32,30,11,0,2,11,0,0,0,0,32,6.71,1
18,M. Arambarri,Midfielder,998,13,13,3,1,0,7,1,0,0,1,18,6.89,2
18,Romeu,Midfielder,2952,33,33,8,1,0,1,1,2,0,0,47,6.89,2
18,Strand Larsen,Forward,1710,32,20,4,0,12,17,0,4,0,0,32,6.73,3
18,Tchouameni,Midfielder,2120,33,24,2,0,9,10,0,0,0,0,27,7.13,2
19,Acuña,Defender,1913,30,21,9,3,9,9,0,3,0,0,34,6.5,1
19,Acuña,Defender,1913,30,21,9,3,9,9,0,3,0,0,34,7.01,1
19,B. Mayoral,Forward,2773,35,33,4,0,2,19,0,8,0,0,40,6.67,3
19,Coquelin,Midfielder,746,16,9,2,0,7,8,0,1,0,0,6,6.73,2
19,D. Ceballos,Midfielder,1567,30,19,8,0,11,14,0,0,0,0,14,6.93,2
19,Hugo Duro,Forward,1374,30,12,5,0,18,6,0,1,0,0,20,6.6,3
19,Kessie,Midfielder,978,28,7,4,0,21,6,0,1,0,0,7,6.67,2
19,Lee Kang In,Midfielder,2840,36,33,10,0,3,21,0,6,0,0,32,7.13,2
19,Luiz Felipe,Defender,1766,23,22,3,3,1,3,0,0,0,0,23,6.79,1
19,Morata,Forward,1905,36,23,4,0,13,20,0,13,0,0,10,6.89,3
19,R. Ely,Defender,3158,36,36,8,1,0,2,1,0,0,1,61,6.79,1
19,Sergi Guardiola,Forward,1175,17,14,2,0,3,12,0,3,0,0,10,6.7,3
19,Sørloth,Forward,2397,34,28,4,0,6,20,0,12,0,0,20,6.58,3
19,Swedberg,Midfielder,52,4,0,1,0,4,0,0,0,0,0,0,6.75,2
20,Abner,Defender,604,13,7,2,0,6,4,0,0,0,0,10,6.4,1
20,Abner,Defender,604,13,7,2,0,6,4,0,0,0,0,10,6.85,1
20,Balliu,Defender,3237,37,37,6,0,0,6,0,0,0,2,47,6.7,1
20,Centelles,Defender,1122,15,11,0,1,4,2,0,1,0,0,20,6.73,1
20,Fernando,Midfielder,1580,22,19,2,1,3,8,0,0,0,1,21,6.85,2
20,Foulquier,Defender,1727,30,17,4,0,13,2,0,0,0,0,24,6.62,1
20,G. Gonzalez,Defender,922,15,9,5,0,6,2,0,0,0,0,7,6.71,1
20,Kevin V.,Defender,440,10,6,2,0,4,4,0,0,0,0,8,6.5,1
20,Maksimovic,Midfielder,2066,29,26,3,0,3,17,0,0,0,0,26,6.77,2
20,Pacheco,Defender,1189,17,12,2,0,5,0,0,0,0,0,13,6.78,1
20,S. Roberto,Defender,1306,23,15,3,0,8,10,0,4,0,0,10,6.93,1
20,Vini Jr.,Forward,2831,33,32,10,0,1,10,0,10,0,0,32,7.05,3
20,Witsel,Midfielder,2255,33,25,2,1,8,3,0,0,0,0,27,6.77,2
21,A. Raillo,Defender,2766,31,31,11,1,0,1,0,2,0,0,31,7.07,1
21,Arzamendia,Defender,479,12,5,0,0,7,2,0,0,0,0,15,6.28,1
21,Carrasco,Midfielder,2329,35,26,2,0,9,19,0,7,1,0,25,6.85,2
21,Chumi,Defender,1486,21,15,5,0,6,2,0,1,0,0,30,6.56,1
21,F. De Jong,Midfielder,2537,33,29,3,0,4,9,0,2,0,0,20,7.24,2
21,Iglesias,Defender,2142,32,21,8,0,11,5,0,1,0,0,32,6.73,1
21,J. Vázquez,Defender,305,10,3,1,0,7,2,0,0,0,0,5,6.53,1
21,Oliver T.,Midfielder,2147,32,27,2,0,5,20,0,3,0,0,31,6.72,2
21,Pathé Ciss,Midfielder,1267,32,12,4,0,20,6,0,1,0,1,27,6.65,2
21,Rodrygo,Forward,2380,34,25,4,0,9,10,0,9,1,0,27,7.1,3
21,Silva,Midfielder,1957,28,25,4,0,3,24,0,2,0,0,21,7.0,2
21,Yeremy,Midfielder,2464,36,31,7,0,5,23,0,4,0,0,31,6.88,2
22,A. J. Morales,Forward,1205,29,11,2,0,18,7,0,7,0,0,11,6.71,3
22,Babic,Defender,2999,34,33,5,0,1,1,0,3,0,0,56,6.72,1
22,Badé,Defender,1448,19,16,4,0,3,1,0,1,0,0,16,7.06,1
22,Damián,Defender,1958,28,26,7,0,2,14,0,1,0,0,20,6.75,1
22,Jose Pozo,Midfielder,81,8,1,0,0,7,1,0,0,0,0,3,6.46,2
22,M. Hermoso,Defender,2111,26,24,3,2,2,2,2,3,0,0,19,6.93,1
22,Marcos André,Forward,436,17,3,2,1,14,3,0,1,0,0,7,6.64,3
22,Raphinha,Forward,2083,36,25,8,0,11,23,0,7,0,0,9,7.27,3
22,Raul Garcia,Midfielder,947,35,6,4,0,29,5,0,2,0,0,13,6.68,2
22,Rüdiger,Defender,2411,33,26,1,0,7,1,0,1,0,0,25,6.85,1
22,S. Bueno,Defender,3012,34,34,5,1,0,1,1,0,0,0,48,6.87,1
22,Turrientes,Midfielder,101,6,1,0,0,5,1,0,0,0,0,2,6.55,2
23,Amath,Forward,1218,28,12,2,1,16,8,0,2,0,0,14,6.47,3
23,Ander Herrera,Midfielder,698,17,9,4,1,8,10,0,0,0,0,10,6.71,2
23,Brais Méndez,Midfielder,2416,34,28,6,0,6,16,0,8,0,0,25,7.04,2
23,De La Torre,Midfielder,1488,28,16,6,0,12,14,0,0,0,0,17,6.59,2
23,F. Mendy,Defender,1359,18,17,2,0,1,11,0,0,0,0,17,6.68,1
23,Kounde,Defender,2428,29,28,2,0,1,4,0,1,0,1,12,7.1,1
23,Luis Hernández,Defender,3149,35,35,6,1,0,0,1,0,0,0,46,6.9,1
23,Mandi,Defender,1459,21,16,1,0,5,3,0,0,0,0,17,6.87,1
23,Marcao,Defender,374,5,4,2,0,1,0,0,0,0,0,5,6.84,1
23,Mitrovic,Defender,1677,22,18,4,0,4,2,0,0,0,0,17,6.7,1
23,Óscar,Midfielder,2563,34,29,11,0,5,16,0,0,0,0,33,6.74,2
23,Reinildo,Defender,1860,22,22,4,0,0,4,0,0,0,0,17,7.01,1
23,Sabaly,Defender,1680,23,19,2,0,4,5,0,1,0,0,18,6.9,1
23,Samu,Midfielder,1985,32,22,5,0,10,7,0,1,0,0,47,6.79,2
24,A. Pedraza,Midfielder,1636,26,20,5,0,6,9,0,0,0,0,15,6.78,2
24,Aitor Ruibal,Defender,1452,26,15,4,1,11,6,0,0,0,0,13,6.72,1
24,Barrios,Midfielder,714,21,6,4,0,15,5,0,0,0,0,9,6.64,2
24,Cömert,Defender,1675,23,19,5,1,4,3,0,1,0,0,22,6.91,1
24,Eric,Defender,1414,24,15,3,0,9,5,0,1,0,0,10,6.92,1
24,F. San Emeterio,Midfielder,1855,33,24,14,0,9,21,0,0,0,0,23,6.63,2
24,Gabri Veiga,Midfielder,2308,36,28,6,1,8,24,0,11,0,0,30,6.96,2
24,Le Normand,Defender,2794,33,31,6,0,2,1,0,0,0,1,25,6.92,1
24,Mendes,Defender,887,14,11,2,0,3,7,0,0,0,0,28,6.2,1
24,Papu Gomez,Midfielder,1063,19,11,4,0,8,6,0,1,0,0,15,6.82,2
24,Valjent,Defender,2659,30,30,8,0,0,3,0,0,0,0,33,6.89,1
25,Callens,Defender,117,6,0,1,0,6,0,0,0,0,0,0,6.65,1
25,Mamardashvili,Goalkeeper,3420,38,38,3,0,0,0,0,0,0,0,45,6.82,0
25,R.d.t,Forward,804,19,9,2,0,10,9,0,4,1,0,13,6.82,3
25,Sadiq,Forward,83,2,1,0,0,1,1,0,1,0,0,0,6.72,3
26,C. Dominguez,Defender,107,3,1,0,0,2,0,0,0,0,0,1,6.7,1
28,Balde,Defender,2476,33,30,4,0,3,9,0,1,0,0,15,6.89,1
28,Rodri,Midfielder,1606,30,19,0,0,11,16,0,2,0,0,15,6.83,2
29,Adu Ares,Forward,76,8,0,0,0,8,0,0,0,0,0,3,6.75,3
29,Gayà,Defender,52,2,1,0,0,1,1,0,0,0,0,2,6.6,1
29,Juan Cruz,Midfielder,174,6,1,1,0,5,1,0,1,0,0,2,6.53,2
29,Miguel,Forward,250,7,3,0,0,4,3,0,1,0,0,4,6.69,3
31,Paredes,Defender,854,16,9,3,0,7,1,0,0,0,1,18,6.7,1
32,Chust,Defender,964,14,10,3,0,4,2,0,1,0,0,20,6.63,1
32,Pablo Torre,Midfielder,138,8,1,0,0,7,1,0,0,0,0,2,6.61,2
33,Cristhian,Defender,143,3,1,0,0,2,0,0,0,0,0,2,6.63,1
33,Miranda,Defender,1475,21,16,1,1,5,5,0,3,0,0,18,6.97,1
35,Jörgensen,Goalkeeper,180,2,2,0,0,0,0,0,0,0,0,3,6.35,0
36,J. Guerra,Midfielder,603,10,6,0,0,4,1,0,1,0,0,6,6.64,2
39,Álvaro,Forward,75,6,0,0,0,6,0,0,1,0,0,2,6.78,3
39,R. Terrats,Midfielder,824,16,11,1,0,5,11,0,1,0,0,9,6.74,2
40,Diego López,Forward,448,10,5,0,0,5,5,0,3,0,0,6,6.83,3
41,Mwepu,Midfielder,20,1,0,0,0,1,0,0,0,0,0,0,6.6,2
42,Marin,Midfielder,356,10,3,1,0,7,3,0,0,0,0,4,6.64,2
